district,date,raw_video,start_time,end_time,anomaly
下行尾32,429,2021-04-29_19-55-43.mpg,19:56:22,19:56:27,跑动
下行尾32,429,2021-04-29_19-55-43.mpg,19:56:32,19:56:41,跑动
下行尾32,429,2021-04-29_19-55-43.mpg,19:56:51,19:56:57,跑动
下行尾32,429,2021-04-29_19-55-43.mpg,20:03:21,20:03:35,拖行李车
下行尾32,429,2021-04-29_19-55-43.mpg,20:06:04,20:06:25,推婴儿车
下行尾32,429,2021-04-29_19-55-43.mpg,20:06:59,20:07:12,推婴儿车
下行尾32,429,2021-04-29_19-55-43.mpg,20:09:42,20:09:44,跑动
下行尾32,429,2021-04-29_19-55-43.mpg,20:09:45,20:09:46,跑动
下行尾32,429,2021-04-29_19-55-43.mpg,20:10:44,20:10:49,推婴儿车
下行尾32,429,2021-04-29_19-55-43.mpg,20:13:26,20:13:28,推婴儿车
下行尾32,429,2021-04-29_20-14-02.mpg,20:13:39,20:14:01,推婴儿车
下行尾32,429,2021-04-29_20-14-02.mpg,20:14:10,20:14:16,推婴儿车
下行尾32,429,2021-04-29_20-14-02.mpg,20:16:13,20:16:20,推婴儿车
下行尾32,429,2021-04-29_20-14-02.mpg,20:20:16,20:20:17,跑动
下行尾32,429,2021-04-29_20-14-02.mpg,20:20:17,20:20:17,跑动
下行尾32,429,2021-04-29_20-14-02.mpg,20:20:17,20:20:18,跑动
下行尾32,429,2021-04-29_20-14-02.mpg,20:29:09,20:29:11,推婴儿车
下行尾32,429,2021-04-29_20-14-02.mpg,20:31:40,20:31:46,推婴儿车
下行尾32,429,2021-04-29_20-32-21.mpg,20:32:13,20:32:20,跑动
下行尾32,429,2021-04-29_20-32-21.mpg,20:46:37,20:46:40,推婴儿车
下行尾32,429,2021-04-29_20-50-41.mpg,20:50:13,20:50:16,推玩具车
下行尾32,429,2021-04-29_20-50-41.mpg,20:52:05,20:52:14,推轮椅
下行尾32,429,2021-04-29_20-50-41.mpg,20:56:10,20:56:17,推婴儿车
下行尾32,429,2021-04-29_20-50-41.mpg,21:08:14,21:08:26,推婴儿车
下行尾32,429,2021-04-29_21-08-59.mpg,21:08:40,21:10:52,推婴儿车
下行尾32,429,2021-04-29_21-08-59.mpg,21:11:39,21:11:50,推婴儿车
下行尾32,429,2021-04-29_21-08-59.mpg,21:11:57,21:12:03,推婴儿车
下行尾32,429,2021-04-29_21-08-59.mpg,21:12:05,21:12:20,推婴儿车
下行尾32,429,2021-04-29_21-08-59.mpg,21:18:23,21:18:45,推婴儿车
下行尾32,429,2021-04-29_21-08-59.mpg,21:18:25,21:18:31,推婴儿车
下行尾32,429,2021-04-29_21-08-59.mpg,21:22:02,21:22:05,推婴儿车
下行尾32,429,2021-04-29_21-08-59.mpg,21:25:25,21:25:26,跑动
下行尾32,429,2021-04-29_21-08-59.mpg,21:25:40,21:25:49,跑动+推婴儿车
下行尾32,429,2021-04-29_21-27-18.mpg,21:29:38,21:30:07,推婴儿车
下行尾32,429,2021-04-29_21-27-18.mpg,21:34:48,21:34:51,推婴儿车
下行尾32,429,2021-04-29_21-27-18.mpg,21:39:49,21:39:52,跑动
下行尾32,429,2021-04-29_21-45-39.mpg,21:47:20,21:47:25,推婴儿车
下行尾32,429,2021-04-29_21-45-39.mpg,21:54:25,21:54:26,跑动
下行尾32,429,2021-04-29_21-45-39.mpg,22:54:25,22:54:26,跑动
下行尾32,429,2021-04-29_21-45-39.mpg,21:58:20,21:58:22,跑动
下行尾32,429,2021-04-29_21-45-39.mpg,21:58:22,21:58:23,跑动
下行尾32,429,2021-04-29_21-45-39.mpg,22:58:28,21:58:30,跑动
下行尾32,429,2021-04-29_22-03-59.mpg,22:05:24,22:05:25,跑动
下行尾32,429,2021-04-29_22-03-59.mpg,22:06:29,22:06:41,推婴儿车
下行尾32,429,2021-04-29_22-03-59.mpg,22:06:54,22:07:01,推婴儿车
下行尾32,429,2021-04-29_22-03-59.mpg,22:12:24,22:12:25,跑动
下行尾32,429,2021-04-29_22-03-59.mpg,22:12:24,22:12:25,跑动
下行尾32,429,2021-04-29_22-03-59.mpg,22:12:25,22:12:26,跑动
下行尾32,429,2021-04-29_22-03-59.mpg,22:14:22,22:14:28,拖车
