,district,date,new_video,start_frame,end_frame,anomaly
0,上行首33,429,2021-04-29_19-51-06_004,-1,-1,推婴儿车
1,上行首33,429,2021-04-29_19-51-06_033,-1,-1,跑动 
2,上行首33,429,2021-04-29_19-51-06_034,-1,-1,跑动 
3,上行首33,429,2021-04-29_19-51-06_046,-1,-1,跑动
4,上行首33,429,2021-04-29_19-51-06_047,-1,-1,跑动
5,上行首33,429,2021-04-29_19-51-06_099,-1,-1,跑动
6,上行首33,429,2021-04-29_19-51-06_100,-1,-1,跑动
7,上行首33,429,2021-04-29_19-51-06_101,-1,-1,跑动
8,上行首33,429,2021-04-29_20-09-29_006,-1,-1,推婴儿车
9,上行首33,429,2021-04-29_20-09-29_026,-1,-1,推婴儿车
10,上行首33,429,2021-04-29_20-09-29_027,-1,-1,推婴儿车
11,上行首33,429,2021-04-29_20-09-29_097,-1,-1,推轮椅
12,上行首33,429,2021-04-29_20-09-29_098,-1,-1,推轮椅
13,上行首33,429,2021-04-29_20-27-51_008,-1,-1,推婴儿车
14,上行首33,429,2021-04-29_20-27-51_009,-1,-1,推婴儿车
15,上行首33,429,2021-04-29_20-27-51_010,-1,-1,推婴儿车
16,上行首33,429,2021-04-29_20-27-51_011,-1,-1,推婴儿车
17,上行首33,429,2021-04-29_20-27-51_012,-1,-1,推婴儿车
18,上行首33,429,2021-04-29_20-27-51_013,-1,-1,推婴儿车
19,上行首33,429,2021-04-29_20-27-51_014,-1,-1,推婴儿车
20,上行首33,429,2021-04-29_20-27-51_015,-1,-1,推婴儿车
21,上行首33,429,2021-04-29_20-27-51_016,-1,-1,推婴儿车
22,上行首33,429,2021-04-29_20-27-51_080,-1,-1,推婴儿车
23,上行首33,429,2021-04-29_20-27-51_081,-1,-1,推婴儿车
24,上行首33,429,2021-04-29_20-27-51_082,-1,-1,推婴儿车
25,上行首33,429,2021-04-29_20-27-51_083,-1,-1,推婴儿车
26,上行首33,429,2021-04-29_20-27-51_084,-1,-1,推婴儿车
27,上行首33,429,2021-04-29_20-27-51_085,-1,-1,推婴儿车
28,上行首33,429,2021-04-29_20-46-15_016,-1,-1,推婴儿车
29,上行首33,429,2021-04-29_20-46-15_025,-1,-1,滑板车
30,上行首33,429,2021-04-29_20-46-15_026,-1,-1,滑板车
31,上行首33,429,2021-04-29_20-46-15_027,-1,-1,滑板车
32,上行首33,429,2021-04-29_20-46-15_055,-1,-1,跑动
33,上行首33,429,2021-04-29_20-46-15_056,-1,-1,跑动
34,上行首33,429,2021-04-29_20-46-15_075,-1,-1,推轮椅
35,上行首33,429,2021-04-29_20-46-15_076,-1,-1,推轮椅
36,上行首33,429,2021-04-29_20-46-15_077,-1,-1,推轮椅
37,上行首33,429,2021-04-29_20-46-15_078,-1,-1,推轮椅
38,上行首33,429,2021-04-29_20-46-15_079,-1,-1,推轮椅
39,上行首33,429,2021-04-29_20-46-15_080,-1,-1,推轮椅
40,上行首33,429,2021-04-29_20-46-15_081,-1,-1,推轮椅
41,上行首33,429,2021-04-29_20-46-15_082,-1,-1,推轮椅
42,上行首33,429,2021-04-29_20-46-15_083,-1,-1,推轮椅
43,上行首33,429,2021-04-29_20-46-15_084,-1,-1,推轮椅
44,上行首33,429,2021-04-29_20-46-15_085,-1,-1,推轮椅
45,上行首33,429,2021-04-29_21-04-38_041,-1,-1,推婴儿车
46,上行首33,429,2021-04-29_21-04-38_042,-1,-1,推婴儿车
47,上行首33,429,2021-04-29_21-04-38_043,-1,-1,推婴儿车
48,上行首33,429,2021-04-29_21-04-38_068,-1,-1,蹲在地上
49,上行首33,429,2021-04-29_21-04-38_069,-1,-1,蹲在地上
50,上行首33,429,2021-04-29_21-04-38_070,-1,-1,蹲在地上
51,上行首33,429,2021-04-29_21-04-38_071,-1,-1,蹲在地上
52,上行首33,429,2021-04-29_21-04-38_072,-1,-1,蹲在地上
53,上行首33,429,2021-04-29_21-04-38_073,-1,-1,蹲在地上
54,上行首33,429,2021-04-29_21-04-38_074,-1,-1,蹲在地上
55,上行首33,429,2021-04-29_21-04-38_075,-1,-1,蹲在地上
56,上行首33,429,2021-04-29_21-04-38_076,-1,-1,蹲在地上
57,上行首33,429,2021-04-29_21-23-00_004,-1,-1,蹲在地上
58,上行首33,429,2021-04-29_21-23-00_005,-1,-1,蹲在地上
59,上行首33,429,2021-04-29_21-23-00_066,-1,-1,跑动
60,上行首33,429,2021-04-29_21-23-00_067,-1,-1,跑动
61,上行首33,429,2021-04-29_21-23-00_068,-1,-1,跑动
62,上行首33,429,2021-04-29_21-23-00_072,-1,-1,推婴儿车
63,上行首33,429,2021-04-29_21-23-00_073,-1,-1,推婴儿车
64,上行首33,429,2021-04-29_21-23-00_074,-1,-1,推婴儿车
65,上行首33,429,2021-04-29_21-23-00_075,-1,-1,推婴儿车
66,上行首33,429,2021-04-29_21-23-00_076,-1,-1,推婴儿车
67,上行首33,429,2021-04-29_21-23-00_077,-1,-1,推婴儿车
68,上行首33,429,2021-04-29_21-23-00_078,-1,-1,推婴儿车
69,上行首33,429,2021-04-29_21-23-00_079,-1,-1,推婴儿车
70,上行首33,429,2021-04-29_21-23-00_080,-1,-1,推婴儿车
71,上行首33,429,2021-04-29_21-23-00_081,-1,-1,推婴儿车
72,上行首33,429,2021-04-29_21-23-00_082,-1,-1,推婴儿车
73,上行首33,429,2021-04-29_21-23-00_083,-1,-1,推婴儿车
74,上行首33,429,2021-04-29_21-23-00_084,-1,-1,推婴儿车
75,上行首33,429,2021-04-29_21-23-00_085,-1,-1,推婴儿车
76,上行首33,429,2021-04-29_21-23-00_086,-1,-1,推婴儿车
77,上行首33,429,2021-04-29_21-23-00_087,-1,-1,推婴儿车
78,上行首33,429,2021-04-29_21-23-00_088,-1,-1,推婴儿车
79,上行首33,429,2021-04-29_21-23-00_089,-1,-1,推婴儿车
80,上行首33,429,2021-04-29_21-23-00_090,-1,-1,推婴儿车
81,上行首33,429,2021-04-29_21-23-00_100,-1,-1,跑动
82,上行首33,429,2021-04-29_21-59-52_056,-1,-1,蹲在地上
83,上行首33,429,2021-04-29_21-59-52_057,-1,-1,蹲在地上
84,上行首33,429,2021-04-29_21-59-52_058,-1,-1,蹲在地上
85,上行首33,429,2021-04-29_21-59-52_059,-1,-1,蹲在地上
86,上行首33,429,2021-04-29_21-59-52_060,-1,-1,蹲在地上
87,上行首33,429,2021-04-29_21-59-52_061,-1,-1,蹲在地上
88,上行首33,429,2021-04-29_21-59-52_062,-1,-1,蹲在地上
89,上行首33,429,2021-04-29_21-59-52_063,-1,-1,蹲在地上
90,上行首33,429,2021-04-29_21-59-52_064,-1,-1,蹲在地上
91,上行首33,429,2021-04-29_21-59-52_065,-1,-1,蹲在地上
92,上行首33,429,2021-04-29_21-59-52_066,-1,-1,蹲在地上
93,上行首33,429,2021-04-29_21-59-52_067,-1,-1,蹲在地上
94,上行首33,429,2021-04-29_21-59-52_068,-1,-1,蹲在地上
95,上行首33,429,2021-04-29_21-59-52_069,-1,-1,蹲在地上
96,上行首33,429,2021-04-29_21-59-52_070,-1,-1,蹲在地上
97,上行首33,429,2021-04-29_21-59-52_071,-1,-1,蹲在地上
98,上行首33,429,2021-04-29_21-59-52_072,-1,-1,蹲在地上
99,上行首33,429,2021-04-29_21-23-00_008,-1,-1,蹲在地上
100,上行首33,429,2021-04-29_21-23-00_103,-1,-1,跑动
101,上行首33,429,2021-04-29_21-59-52_060,-1,-1,蹲在地上
